date,grsr,keyword,geo,time,gprop,category,categories,categories2,selected,days1a,days1b,days2,post1a,post1b,post2
2020-08-09,14,"""daftar gojek""+""daftar grab""",ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,21,17,9,1,1,1
2020-08-16,16,"""daftar gojek""+""daftar grab""",ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,22,18,10,1,1,1
2020-08-23,15,"""daftar gojek""+""daftar grab""",ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,23,19,11,1,1,1
2020-08-30,14,"""daftar gojek""+""daftar grab""",ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,24,20,12,1,1,1
2020-09-06,15,"""daftar gojek""+""daftar grab""",ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,25,21,13,1,1,1
2020-09-13,11,"""daftar gojek""+""daftar grab""",ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,26,22,14,1,1,1
2020-09-20,11,"""daftar gojek""+""daftar grab""",ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,27,23,15,1,1,1
2020-09-27,10,"""daftar gojek""+""daftar grab""",ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,28,24,16,1,1,1
2020-10-04,11,"""daftar gojek""+""daftar grab""",ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,29,25,17,1,1,1
2020-10-11,11,"""daftar gojek""+""daftar grab""",ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,30,26,18,1,1,1
2020-10-18,11,"""daftar gojek""+""daftar grab""",ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,31,27,19,1,1,1
2020-10-25,13,"""daftar gojek""+""daftar grab""",ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,32,28,20,1,1,1
2020-01-05,3,"""modal jualan""+""cara jualan online""",ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,-10,-14,-22,0,0,0
