date,grsr,keyword,geo,time,gprop,category,period,weight,grsr_n,mx,categories,categories2,selected,pts1a,pts1b,pts2,days1a,days1b,days2,grp,post1a,post1b,post2
2019-06-09,92,"""jobstreet""",ID,2019-01-01 2019-10-31,web,0,2019,0.8871377554007377,77.69855394883204,105.04271874945844,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,17972,17993,18049,12,9,1,0,1,1,1
2019-06-16,96,"""jobstreet""",ID,2019-01-01 2019-10-31,web,0,2019,0.8871377554007377,81.07675194660735,105.04271874945844,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,17972,17993,18049,13,10,2,0,1,1,1
2019-06-23,92,"""jobstreet""",ID,2019-01-01 2019-10-31,web,0,2019,0.8871377554007377,77.69855394883204,105.04271874945844,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,17972,17993,18049,14,11,3,0,1,1,1
2019-06-30,96,"""jobstreet""",ID,2019-01-01 2019-10-31,web,0,2019,0.8871377554007377,81.07675194660735,105.04271874945844,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,17972,17993,18049,15,12,4,0,1,1,1
2019-07-07,95,"""jobstreet""",ID,2019-01-01 2019-10-31,web,0,2019,0.8871377554007377,80.23220244716352,105.04271874945844,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,17972,17993,18049,16,13,5,0,1,1,1
2019-07-14,99,"""jobstreet""",ID,2019-01-01 2019-10-31,web,0,2019,0.8871377554007377,83.61040044493882,105.04271874945844,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,17972,17993,18049,17,14,6,0,1,1,1
2019-07-21,92,"""jobstreet""",ID,2019-01-01 2019-10-31,web,0,2019,0.8871377554007377,77.69855394883204,105.04271874945844,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,17972,17993,18049,18,15,7,0,1,1,1
2019-07-28,92,"""jobstreet""",ID,2019-01-01 2019-10-31,web,0,2019,0.8871377554007377,77.69855394883204,105.04271874945844,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,17972,17993,18049,19,16,8,0,1,1,1
2019-08-04,89,"""jobstreet""",ID,2019-01-01 2019-10-31,web,0,2019,0.8871377554007377,75.16490545050057,105.04271874945844,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,17972,17993,18049,20,17,9,0,1,1,1
2019-08-11,83,"""jobstreet""",ID,2019-01-01 2019-10-31,web,0,2019,0.8871377554007377,70.0976084538376,105.04271874945844,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,17972,17993,18049,21,18,10,0,1,1,1
2019-08-18,96,"""jobstreet""",ID,2019-01-01 2019-10-31,web,0,2019,0.8871377554007377,81.07675194660735,105.04271874945844,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,17972,17993,18049,22,19,11,0,1,1,1
2019-08-25,89,"""jobstreet""",ID,2019-01-01 2019-10-31,web,0,2019,0.8871377554007377,75.16490545050057,105.04271874945844,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,17972,17993,18049,23,20,12,0,1,1,1
2019-09-01,85,"""jobstreet""",ID,2019-01-01 2019-10-31,web,0,2019,0.8871377554007377,71.78670745272525,105.04271874945844,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,17972,17993,18049,24,21,13,0,1,1,1
2019-09-08,85,"""jobstreet""",ID,2019-01-01 2019-10-31,web,0,2019,0.8871377554007377,71.78670745272525,105.04271874945844,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,17972,17993,18049,25,22,14,0,1,1,1
2019-09-15,90,"""jobstreet""",ID,2019-01-01 2019-10-31,web,0,2019,0.8871377554007377,76.00945494994438,105.04271874945844,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,17972,17993,18049,26,23,15,0,1,1,1
2019-09-22,90,"""jobstreet""",ID,2019-01-01 2019-10-31,web,0,2019,0.8871377554007377,76.00945494994438,105.04271874945844,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,17972,17993,18049,27,24,16,0,1,1,1
2019-09-29,86,"""jobstreet""",ID,2019-01-01 2019-10-31,web,0,2019,0.8871377554007377,72.63125695216908,105.04271874945844,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,17972,17993,18049,28,25,17,0,1,1,1
2019-10-06,89,"""jobstreet""",ID,2019-01-01 2019-10-31,web,0,2019,0.8871377554007377,75.16490545050057,105.04271874945844,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,17972,17993,18049,29,26,18,0,1,1,1
2019-10-13,92,"""jobstreet""",ID,2019-01-01 2019-10-31,web,0,2019,0.8871377554007377,77.69855394883204,105.04271874945844,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,17972,17993,18049,30,27,19,0,1,1,1
2019-10-20,87,"""jobstreet""",ID,2019-01-01 2019-10-31,web,0,2019,0.8871377554007377,73.47580645161291,105.04271874945844,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,17972,17993,18049,31,28,20,0,1,1,1
2019-10-27,83,"""jobstreet""",ID,2019-01-01 2019-10-31,web,0,2019,0.8871377554007377,70.0976084538376,105.04271874945844,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,17972,17993,18049,32,29,21,0,1,1,1
2019-01-06,98,"""lowongan kurir""+""loker kurir""",ID,2019-01-01 2019-10-31,web,0,2019,0.7062922366156354,85.99036144578314,80.49348557741942,Kurir,Mencari pekerjaan/menyiapkan usaha,1,17972,17993,18049,-10,-13,-21,0,0,0,0
2019-01-13,86,"""lowongan kurir""+""loker kurir""",ID,2019-01-01 2019-10-31,web,0,2019,0.7062922366156354,75.46092943201377,80.49348557741942,Kurir,Mencari pekerjaan/menyiapkan usaha,1,17972,17993,18049,-9,-12,-20,0,0,0,0
2019-01-20,84,"""lowongan kurir""+""loker kurir""",ID,2019-01-01 2019-10-31,web,0,2019,0.7062922366156354,73.70602409638553,80.49348557741942,Kurir,Mencari pekerjaan/menyiapkan usaha,1,17972,17993,18049,-8,-11,-19,0,0,0,0
2019-01-27,73,"""lowongan kurir""+""loker kurir""",ID,2019-01-01 2019-10-31,web,0,2019,0.7062922366156354,64.0540447504303,80.49348557741942,Kurir,Mencari pekerjaan/menyiapkan usaha,1,17972,17993,18049,-7,-10,-18,0,0,0,0
2019-02-03,70,"""lowongan kurir""+""loker kurir""",ID,2019-01-01 2019-10-31,web,0,2019,0.7062922366156354,61.421686746987945,80.49348557741942,Kurir,Mencari pekerjaan/menyiapkan usaha,1,17972,17993,18049,-6,-9,-17,0,0,0,0
2019-02-10,61,"""lowongan kurir""+""loker kurir""",ID,2019-01-01 2019-10-31,web,0,2019,0.7062922366156354,53.52461273666093,80.49348557741942,Kurir,Mencari pekerjaan/menyiapkan usaha,1,17972,17993,18049,-5,-8,-16,0,0,0,0
2019-02-17,73,"""lowongan kurir""+""loker kurir""",ID,2019-01-01 2019-10-31,web,0,2019,0.7062922366156354,64.0540447504303,80.49348557741942,Kurir,Mencari pekerjaan/menyiapkan usaha,1,17972,17993,18049,-4,-7,-15,0,0,0,0
2019-02-24,51,"""lowongan kurir""+""loker kurir""",ID,2019-01-01 2019-10-31,web,0,2019,0.7062922366156354,44.75008605851979,80.49348557741942,Kurir,Mencari pekerjaan/menyiapkan usaha,1,17972,17993,18049,-3,-6,-14,0,0,0,0
2019-03-03,55,"""lowongan kurir""+""loker kurir""",ID,2019-01-01 2019-10-31,web,0,2019,0.7062922366156354,48.25989672977624,80.49348557741942,Kurir,Mencari pekerjaan/menyiapkan usaha,1,17972,17993,18049,-2,-5,-13,0,0,0,0
2019-03-10,60,"""lowongan kurir""+""loker kurir""",ID,2019-01-01 2019-10-31,web,0,2019,0.7062922366156354,52.64716006884682,80.49348557741942,Kurir,Mencari pekerjaan/menyiapkan usaha,1,17972,17993,18049,-1,-4,-12,0,0,0,0
2019-03-17,68,"""lowongan kurir""+""loker kurir""",ID,2019-01-01 2019-10-31,web,0,2019,0.7062922366156354,59.66678141135973,80.49348557741942,Kurir,Mencari pekerjaan/menyiapkan usaha,1,17972,17993,18049,0,-3,-11,0,0,0,0
2019-03-24,62,"""lowongan kurir""+""loker kurir""",ID,2019-01-01 2019-10-31,web,0,2019,0.7062922366156354,54.40206540447504,80.49348557741942,Kurir,Mencari pekerjaan/menyiapkan usaha,1,17972,17993,18049,1,-2,-10,0,1,0,0
2019-03-31,60,"""lowongan kurir""+""loker kurir""",ID,2019-01-01 2019-10-31,web,0,2019,0.7062922366156354,52.64716006884682,80.49348557741942,Kurir,Mencari pekerjaan/menyiapkan usaha,1,17972,17993,18049,2,-1,-9,0,1,0,0
2019-04-07,63,"""lowongan kurir""+""loker kurir""",ID,2019-01-01 2019-10-31,web,0,2019,0.7062922366156354,55.27951807228915,80.49348557741942,Kurir,Mencari pekerjaan/menyiapkan usaha,1,17972,17993,18049,3,0,-8,0,1,0,0
2019-04-14,34,"""lowongan kurir""+""loker kurir""",ID,2019-01-01 2019-10-31,web,0,2019,0.7062922366156354,29.833390705679864,80.49348557741942,Kurir,Mencari pekerjaan/menyiapkan usaha,1,17972,17993,18049,4,1,-7,0,1,1,0
2019-04-21,59,"""lowongan kurir""+""loker kurir""",ID,2019-01-01 2019-10-31,web,0,2019,0.7062922366156354,51.7697074010327,80.49348557741942,Kurir,Mencari pekerjaan/menyiapkan usaha,1,17972,17993,18049,5,2,-6,0,1,1,0
2019-04-28,57,"""lowongan kurir""+""loker kurir""",ID,2019-01-01 2019-10-31,web,0,2019,0.7062922366156354,50.014802065404474,80.49348557741942,Kurir,Mencari pekerjaan/menyiapkan usaha,1,17972,17993,18049,6,3,-5,0,1,1,0
2019-05-05,43,"""lowongan kurir""+""loker kurir""",ID,2019-01-01 2019-10-31,web,0,2019,0.7062922366156354,37.730464716006885,80.49348557741942,Kurir,Mencari pekerjaan/menyiapkan usaha,1,17972,17993,18049,7,4,-4,0,1,1,0
2019-05-12,37,"""lowongan kurir""+""loker kurir""",ID,2019-01-01 2019-10-31,web,0,2019,0.7062922366156354,32.4657487091222,80.49348557741942,Kurir,Mencari pekerjaan/menyiapkan usaha,1,17972,17993,18049,8,5,-3,0,1,1,0
2019-05-19,35,"""lowongan kurir""+""loker kurir""",ID,2019-01-01 2019-10-31,web,0,2019,0.7062922366156354,30.710843373493972,80.49348557741942,Kurir,Mencari pekerjaan/menyiapkan usaha,1,17972,17993,18049,9,6,-2,0,1,1,0
2019-05-26,39,"""lowongan kurir""+""loker kurir""",ID,2019-01-01 2019-10-31,web,0,2019,0.7062922366156354,34.22065404475043,80.49348557741942,Kurir,Mencari pekerjaan/menyiapkan usaha,1,17972,17993,18049,10,7,-1,0,1,1,0
2019-06-02,22,"""lowongan kurir""+""loker kurir""",ID,2019-01-01 2019-10-31,web,0,2019,0.7062922366156354,19.3039586919105,80.49348557741942,Kurir,Mencari pekerjaan/menyiapkan usaha,1,17972,17993,18049,11,8,0,0,1,1,0
2019-06-09,60,"""lowongan kurir""+""loker kurir""",ID,2019-01-01 2019-10-31,web,0,2019,0.7062922366156354,52.64716006884682,80.49348557741942,Kurir,Mencari pekerjaan/menyiapkan usaha,1,17972,17993,18049,12,9,1,0,1,1,1
2019-06-16,74,"""lowongan kurir""+""loker kurir""",ID,2019-01-01 2019-10-31,web,0,2019,0.7062922366156354,64.9314974182444,80.49348557741942,Kurir,Mencari pekerjaan/menyiapkan usaha,1,17972,17993,18049,13,10,2,0,1,1,1
2019-06-23,84,"""lowongan kurir""+""loker kurir""",ID,2019-01-01 2019-10-31,web,0,2019,0.7062922366156354,73.70602409638553,80.49348557741942,Kurir,Mencari pekerjaan/menyiapkan usaha,1,17972,17993,18049,14,11,3,0,1,1,1
2019-06-30,81,"""lowongan kurir""+""loker kurir""",ID,2019-01-01 2019-10-31,web,0,2019,0.7062922366156354,71.0736660929432,80.49348557741942,Kurir,Mencari pekerjaan/menyiapkan usaha,1,17972,17993,18049,15,12,4,0,1,1,1
